#time,symbol,price,quantity
2013-03-01 09:30:00,INTC,20.8,100
2013-03-01 09:30:00,AAPL,437.89,100
2013-03-01 09:30:00,AAPL,438.14,100
2013-03-01 09:30:00,AAPL,437.53,100
2013-03-01 09:30:00,AAPL,437.96,100
2013-03-01 09:30:00,GE,23,676
2013-03-01 09:30:00,GE,23,400
2013-03-01 09:30:00,INTC,20.8,100
2013-03-01 09:30:00,AAPL,437.84,100
2013-03-01 09:30:00,GE,23.01,400
2013-03-01 09:30:00,INTC,20.81,100
2013-03-01 09:30:00,INTC,20.8,100
2013-03-01 09:30:00,AAPL,438,100
2013-03-01 09:30:00,GE,23.02,130
2013-03-01 09:30:00,INTC,20.81,200
2013-03-01 09:30:00,GE,23.02,300
